Date,F/R,S/R,City
2015-10-08,33,94,Shillong
2015-10-07,99,15,Shillong
2015-10-06,42,98,Shillong
2015-10-05,40,35,Shillong
2015-10-03,43,28,Shillong
2015-10-02,2,39,Shillong
2015-10-01,61,36,Shillong
2015-09-30,98,25,Shillong
2015-09-29,44,72,Shillong
2015-09-28,32,59,Shillong
2015-09-26,38,83,Shillong
2015-09-25,7,71,Shillong
2015-09-24,91,70,Shillong
2015-09-23,39,45,Shillong
2015-09-22,70,72,Shillong
2015-09-21,56,29,Shillong
2015-09-18,51,8,Shillong
2015-09-17,73,67,Shillong
2015-09-16,22,39,Shillong
2015-09-15,63,2,Shillong
2015-09-14,68,36,Shillong
2015-09-12,48,39,Shillong
2015-09-11,80,21,Shillong
2015-09-10,61,76,Shillong
2015-09-09,46,42,Shillong
2015-09-08,13,6,Shillong
2015-09-07,64,28,Shillong
2015-09-05,28,82,Shillong
2015-09-04,66,52,Shillong
2015-09-03,28,50,Shillong
2015-09-02,70,23,Shillong
2015-09-01,56,73,Shillong
2015-08-31,16,46,Shillong
2015-08-29,4,74,Shillong
2015-08-28,5,13,Shillong
2015-08-27,57,29,Shillong
2015-08-26,68,24,Shillong
2015-08-25,59,27,Shillong
2015-08-24,7,34,Shillong
2015-08-22,10,70,Shillong
2015-08-21,76,57,Shillong
2015-08-20,80,5,Shillong
2015-08-19,68,23,Shillong
2015-08-18,94,2,Shillong
2015-08-14,82,63,Shillong
2015-08-13,52,68,Shillong
2015-08-17,71,37,Shillong
2015-08-12,45,31,Shillong
2015-08-11,4,54,Shillong
2015-08-10,59,64,Shillong
2015-08-08,17,58,Shillong
2015-08-06,59,52,Shillong
2015-08-05,27,64,Shillong
2015-08-04,13,29,Shillong
2015-08-03,75,72,Shillong
2015-08-01,51,43,Shillong
2015-07-29,86,11,Shillong
2015-07-31,1,88,Shillong
2015-07-30,64,77,Shillong
2015-07-28,72,75,Shillong
2015-07-27,18,56,Shillong
2015-07-25,98,69,Shillong
2015-07-24,59,61,Shillong
2015-07-23,2,18,Shillong
2015-07-22,25,81,Shillong
2015-07-21,60,35,Shillong
2015-07-16,32,85,Shillong
2015-07-15,62,55,Shillong
2015-07-14,55,33,Shillong
2015-07-13,76,40,Shillong
2015-07-10,65,5,Shillong
2015-07-09,98,69,Shillong
2015-07-08,34,45,Shillong
2015-07-07,61,11,Shillong
2015-07-06,43,16,Shillong
2015-07-04,57,36,Shillong
2015-07-03,13,58,Shillong
2015-07-02,55,81,Shillong
2015-07-01,48,4,Shillong
2015-06-30,29,2,Shillong
2015-06-29,29,42,Shillong
2015-06-27,24,21,Shillong
2015-06-26,69,69,Shillong
2015-06-25,96,14,Shillong
2015-06-24,18,31,Shillong
2015-06-23,55,78,Shillong
2015-06-22,98,4,Shillong
2015-06-20,42,58,Shillong
2015-06-19,48,31,Shillong
2015-06-18,25,11,Shillong
2015-06-17,16,31,Shillong
2015-06-16,3,92,Shillong
2015-06-15,80,74,Shillong
2015-06-13,43,61,Shillong
2015-06-12,3,20,Shillong
2015-06-11,47,78,Shillong
2015-06-10,79,81,Shillong
2015-06-09,63,81,Shillong
2015-06-08,39,19,Shillong
2015-06-06,9,74,Shillong
2015-06-05,53,66,Shillong
2015-06-04,23,25,Shillong
2015-06-03,63,94,Shillong
2015-06-02,44,80,Shillong
2015-06-01,2,62,Shillong
2015-05-29,39,52,Shillong
2015-05-28,62,48,Shillong
2015-05-26,6,26,Shillong
2015-05-25,63,54,Shillong
2015-05-23,11,95,Shillong
2015-05-22,39,26,Shillong
2015-05-21,30,30,Shillong
2015-05-20,31,27,Shillong
2015-05-19,90,24,Shillong
2015-05-18,22,99,Shillong
2015-05-16,40,22,Shillong
2015-05-15,48,78,Shillong
2015-05-14,8,17,Shillong
2015-05-13,10,71,Shillong
2015-05-12,23,63,Shillong
2015-05-11,87,43,Shillong
2015-05-09,24,99,Shillong
2015-05-08,23,77,Shillong
2015-05-07,58,5,Shillong
2015-05-06,23,56,Shillong
2015-05-05,75,86,Shillong
2015-05-04,42,28,Shillong
2015-05-02,99,70,Shillong
2015-05-01,26,91,Shillong
2015-04-30,17,42,Shillong
2015-04-29,97,31,Shillong
2015-04-28,37,51,Shillong
2015-04-27,40,92,Shillong
2015-04-25,33,89,Shillong
2015-04-24,90,41,Shillong
2015-04-23,59,40,Shillong
2015-04-21,7,7,Shillong
2015-04-20,80,32,Shillong
2015-04-18,61,2,Shillong
2015-04-17,98,69,Shillong
2015-04-16,64,92,Shillong
2015-04-15,54,29,Shillong
2015-04-14,79,41,Shillong
2015-04-11,3,45,Shillong
2015-04-10,56,35,Shillong
2015-04-09,85,2,Shillong
2015-04-08,86,53,Shillong
2015-04-07,74,79,Shillong
2015-04-06,10,80,Shillong
2015-04-02,46,83,Shillong
2015-04-01,37,3,Shillong
2015-03-31,94,33,Shillong
2015-03-30,7,90,Shillong
2015-03-28,11,72,Shillong
2015-03-27,96,57,Shillong
2015-03-26,0,94,Shillong
2015-03-25,10,47,Shillong
2015-03-24,13,29,Shillong
2015-03-23,91,48,Shillong
2015-03-21,44,0,Shillong
2015-03-20,78,83,Shillong
2015-03-19,60,25,Shillong
2015-03-18,42,57,Shillong
2015-03-17,97,91,Shillong
2015-03-16,12,27,Shillong
2015-03-14,49,58,Shillong
2015-03-13,76,26,Shillong
2015-03-12,18,14,Shillong
2015-03-11,26,16,Shillong
2015-03-10,68,94,Shillong
2015-03-09,26,59,Shillong
2015-03-06,27,18,Shillong
2015-03-07,46,47,Shillong
2015-03-05,85,98,Shillong
2015-03-04,16,85,Shillong
2015-03-03,46,65,Shillong
2015-03-02,74,19,Shillong
2015-02-28,53,28,Shillong
2015-02-27,31,97,Shillong
2015-02-26,93,65,Shillong
2015-02-25,57,92,Shillong
2015-02-24,97,80,Shillong
2015-02-23,13,30,Shillong
2015-02-21,40,81,Shillong
2015-02-20,47,67,Shillong
2015-02-19,38,11,Shillong
2015-02-18,33,34,Shillong
2015-02-17,6,60,Shillong
2015-02-14,78,41,Shillong
2015-02-13,9,74,Shillong
2015-02-12,71,31,Shillong
2015-02-11,85,34,Shillong
2015-02-10,1,80,Shillong
2015-02-09,4,30,Shillong
2015-02-07,18,99,Shillong
2015-02-06,6,86,Shillong
2015-02-05,20,93,Shillong
2015-02-04,8,65,Shillong
2015-02-03,82,17,Shillong
2015-02-02,41,85,Shillong
2015-01-31,52,62,Shillong
2015-01-30,89,56,Shillong
2015-01-29,78,0,Shillong
2015-01-28,50,9,Shillong
2015-01-27,61,36,Shillong
2015-01-24,47,95,Shillong
2015-01-23,11,47,Shillong
2015-01-22,96,64,Shillong
2015-01-21,47,84,Shillong
2015-01-20,22,86,Shillong
2015-01-19,84,58,Shillong
2015-01-17,78,24,Shillong
2015-01-16,32,54,Shillong
2015-01-15,7,79,Shillong
2015-01-14,43,6,Shillong
2015-01-13,37,94,Shillong
2015-01-12,21,93,Shillong
2015-01-10,47,12,Shillong
2015-01-09,10,93,Shillong
2015-01-08,59,38,Shillong
2015-01-07,91,50,Shillong
2015-01-06,97,90,Shillong
2015-01-05,92,93,Shillong
2015-01-03,65,3,Shillong
2015-01-02,66,85,Shillong
2014-12-31,89,72,Shillong
2014-12-29,81,33,Shillong
2014-12-27,47,66,Shillong
2014-12-26,43,79,Shillong
2014-12-24,72,60,Shillong
2014-12-23,99,32,Shillong
2014-12-22,57,0,Shillong
2014-12-20,35,46,Shillong
2014-12-18,13,20,Shillong
2014-12-17,45,62,Shillong
2014-12-16,85,66,Shillong
2014-12-15,78,71,Shillong
2014-12-13,38,74,Shillong
2014-12-12,39,54,Shillong
2014-12-11,29,46,Shillong
2014-12-10,35,90,Shillong
2014-12-09,13,83,Shillong
2014-12-08,98,64,Shillong
2014-12-06,31,87,Shillong
2014-12-05,36,9,Shillong
2014-12-04,84,6,Shillong
2014-12-03,56,70,Shillong
2014-12-02,92,43,Shillong
2014-12-01,27,41,Shillong
2014-11-29,10,89,Shillong
2014-11-28,4,13,Shillong
2014-11-27,1,78,Shillong
2014-11-26,78,55,Shillong
2014-11-25,86,82,Shillong
2014-11-24,65,23,Shillong
2014-11-22,85,40,Shillong
2014-11-21,73,86,Shillong
2014-11-20,89,22,Shillong
2014-11-19,51,31,Shillong
2014-11-18,56,20,Shillong
2014-11-17,46,29,Shillong
2014-11-15,52,39,Shillong
2014-11-14,83,76,Shillong
2014-11-13,24,64,Shillong
2014-11-12,8,49,Shillong
2014-11-11,24,17,Shillong
2014-11-10,67,16,Shillong
2014-11-08,12,73,Shillong
2014-11-07,20,69,Shillong
2014-11-06,34,28,Shillong
2014-11-05,71,65,Shillong
2014-11-04,42,17,Shillong
2014-11-03,55,35,Shillong
2014-10-31,49,13,Shillong
2014-10-30,80,76,Shillong
2014-10-29,58,58,Shillong
2014-10-28,34,0,Shillong
2014-10-27,86,88,Shillong
2014-10-25,65,60,Shillong
2014-10-24,2,56,Shillong
2014-10-23,14,67,Shillong
2014-10-22,40,96,Shillong
2014-10-21,79,18,Shillong
2014-10-20,34,65,Shillong
2014-10-18,80,81,Shillong
2014-10-17,41,68,Shillong
2014-10-16,71,4,Shillong
2014-10-15,67,82,Shillong
2014-10-14,47,19,Shillong
2014-10-13,43,87,Shillong
2014-10-11,15,70,Shillong
2014-10-10,15,70,Shillong
2014-10-09,39,91,Shillong
2014-10-08,92,17,Shillong
2014-10-07,44,10,Shillong
2014-10-06,14,90,Shillong
2014-10-04,17,52,Shillong
2014-10-01,82,34,Shillong
2014-09-30,57,33,Shillong
2014-09-29,34,68,Shillong
2014-09-27,41,94,Shillong
2014-09-26,34,95,Shillong
2014-09-25,89,15,Shillong
2014-09-24,5,93,Shillong
2014-09-23,91,8,Shillong
2014-09-22,82,31,Shillong
2014-09-20,34,83,Shillong
2014-09-19,91,83,Shillong
2014-09-18,44,91,Shillong
2014-09-04,98,37,Shillong
